file	project	class	lines	recoveredCounterpart
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IBaseAchievementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	15	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IBaseAchievementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\ICharacterAchievementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	6	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\ICharacterAchievementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IGlobalAchievementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	10	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IGlobalAchievementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IGuildAchievementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	6	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IGuildAchievementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.CSI\IClientSideInteraction.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	17	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.CSI\IClientSideInteraction.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Challenges\IChallengeManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	13	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Challenges\IChallengeManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Character\ICharacter.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	18	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Character\ICharacter.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Character\ICharacterManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	21	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Character\ICharacterManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat.Format\IChatFormatManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	12	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat.Format\IChatFormatManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat.Format\IInternalChatFormatter.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	8	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat.Format\IInternalChatFormatter.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat.Format\ILocalChatFormatter.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	7	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat.Format\ILocalChatFormatter.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat.Format\INetworkChatFormatter.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	7	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat.Format\INetworkChatFormatter.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat\IChatMessageBuilder.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	26	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat\IChatMessageBuilder.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat\IGlobalChatManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	11	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Chat\IGlobalChatManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\ICrimsonIsleOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\ICrimsonIsleOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IDatascapeAvatusSpawn.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IDatascapeAvatusSpawn.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IDeepSpaceExplorationOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IDeepSpaceExplorationOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IEverstarGroveOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IEverstarGroveOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IEvilFromTheEtherOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IEvilFromTheEtherOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IEvilFromTheEtherOnEthericOrganisms.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IEvilFromTheEtherOnEthericOrganisms.cs
